t,x_world,y_world,yaw_deg_carla,vx,vy,yaw_rate,ax,ay,steer,throttle,brake,Fz_FL,Fz_FR,Fz_RL,Fz_RR
4.36,-38.30950164794922,-1.0337557792663574,-88.35971069335938,9.386543651029221,0.22050341794828016,0.3780171829816364,-0.0898026592449684,3.5534709969144807,0.1103247371249841,0.2840369046912336,0.0,2762.5365840963027,4154.356424875654,2511.2654228191273,3627.2491733585534
4.38,-38.30977249145508,-1.22153639793396,-88.79297637939453,9.38641319075359,0.22060961846548607,0.3782081574176822,-0.08998638597501392,3.5552484558963005,0.11038302133576847,0.284076042773923,0.0,2762.2079061089453,4154.723813193323,2510.965471429096,3627.507339235533
4.4,-38.31146240234375,-1.4093072414398193,-89.22650909423828,9.386280696608544,0.22071652070582345,0.3784002017193148,-0.09017101899605029,3.5570357893679057,0.11044157648353971,0.28411579101743667,0.0,2761.877388846777,4155.0932179301335,2510.6638617387853,3627.7669383702587
4.42,-38.3145751953125,-1.5970571041107178,-89.66020965576172,9.386146166133411,0.22082412672100266,0.37859332121395906,-0.09035619791113632,3.5588319825876638,0.11050056809595692,0.28415615015997664,0.0,2761.5451773656955,4155.464417648934,2510.3607788408744,3628.0278619953306
4.44,-38.31911087036133,-1.7847754955291748,-90.09413146972656,9.386009593086783,0.2209324404904205,0.3787875221393112,-0.09054239038307432,3.5606382759138877,0.11055991511489532,0.28419712207396514,0.0,2761.211099293746,4155.837683571467,2510.0559953976312,3628.290238453646
4.46,-38.3250732421875,-1.972451090812683,-90.5283432006836,9.385870970631542,0.2210414765659243,0.3789828194241437,-0.09072942890904716,3.562454646475439,0.11061950742574685,0.2842387088105374,0.0,2760.8751290604205,4156.213006502,2509.7495221478694,3628.5540916135806
4.48,-38.33245849609375,-2.1600735187530518,-90.96273040771484,9.385730298040281,0.22115123138201684,0.3791792151217248,-0.09091692598671004,3.5642796264616567,0.11067953858301817,0.2842809105879157,0.0,2760.53750067719,4156.590069663509,2509.4416212824426,3628.8192420348278
4.5,-38.34126663208008,-2.3476316928863525,-91.3973159790039,9.385587570154547,0.22126170059288958,0.3793767095006299,-0.09110541237888188,3.5661145035023405,0.11073997503100803,0.28432372895363595,0.0,2760.198043452326,4156.9691557817805,2509.1320549458533,3629.0858154194175
4.52,-38.35150146484375,-2.5351145267486572,-91.83219909667969,9.385442778606532,0.22137289876471583,0.37957531707610953,-0.0912948894915504,3.567959914936008,0.11080065439121868,0.28436716641804055,0.0,2759.856625717233,4157.350397827282,2508.820716293711,3629.3539171148564
4.54,-38.363162994384766,-2.7225112915039062,-92.26727294921875,9.385295921668376,0.22148482698564914,0.3797750431882735,-0.09148484726377316,3.5698142468420992,0.11086176277651258,0.28441122349948705,0.0,2759.513489670845,4157.733445178101,2508.5078971849603,3629.6233636467073
4.56,-38.37624740600586,-2.909811019897461,-92.70258331298828,9.385146994478433,0.22159748088480732,0.3799758881228684,-0.09167577469585823,3.5716785432940807,0.11092322416125067,0.28445590165647017,0.0,2759.168507393483,4158.11852872132,2508.193402231204,3629.8942473236634
4.58,-38.3907585144043,-3.0970027446746826,-93.13812255859375,9.384995991329598,0.22171086585021108,0.3801778593075239,-0.0918675100405255,3.5735527403863667,0.11098505848046819,0.2845012026011206,0.0,2758.8216631003684,4158.505630608008,2507.8772490107444,3630.1665840689534
4.6,-38.40669250488281,-3.2840754985809326,-93.57389068603516,9.38484290685832,0.2218249862775504,0.38038096337473504,-0.09206010546200415,3.5754369734627667,0.11104726791144326,0.28454712794250375,0.0,2758.4729381908055,4158.894780363428,2507.5594127051854,3630.4403876523584
4.62,-38.42405319213867,-3.4710185527801514,-94.00984954833984,9.384687735253562,0.22193984800716146,0.3805852081606362,-0.09225357702759292,3.577331367125186,0.11110992859374302,0.28459367942393127,0.0,2758.122309753303,4159.286004381079,2507.23987173948,3630.7156760323705
4.64,-38.44283676147461,-3.657820701599121,-94.44609832763672,9.384530467294477,0.2220554667652047,0.3807906093350661,-0.0924481887569442,3.5792369354167306,0.1111728662276729,0.284640859811657,0.0,2757.769615237151,4159.679521512049,2506.918444948925,3630.992573858445
4.66,-38.46304702758789,-3.844470739364624,-94.8825912475586,9.384371098918763,0.22217185053692912,0.38099717825537566,-0.09264342690197729,3.581152257551039,0.11123616759234826,0.2846886703243712,0.0,2757.41505623097,4160.075021334034,2506.5953919730755,3631.2709302314615
4.68,-38.48468017578125,-4.030958652496338,-95.31930541992188,9.384209627170813,0.22228899114942438,0.3812049138201486,-0.09283945601183045,3.583077261532029,0.1112998808541205,0.284737111848756,0.0,2757.058677361405,4160.472493124528,2506.27071801622,3631.5507059758615
4.7,-38.50773620605469,-4.2172722816467285,-95.75625610351562,9.384046046000972,0.2224068870176288,0.38141381889937637,-0.09303644154994835,3.5850125693240913,0.11136397876743763,0.2847861861997085,0.0,2756.7003798673313,4160.872070928645,2505.9443120324513,3631.831976713559
4.72,-38.53221130371094,-4.403400897979736,-96.19345092773438,9.383880348906162,0.2225255432692924,0.3816239010826835,-0.09323434111422589,3.586958320677981,0.11142845124123238,0.28483589532815135,0.0,2756.340127331542,4161.273782515646,2505.6161525375414,3632.1147724260786
4.74,-38.55811309814453,-4.589334011077881,-96.630859375,9.383712530076519,0.222644964198247,0.38183516733630485,-0.09343312470088139,3.588914458122763,0.11149336809829158,0.2848862409770444,0.0,2755.9779263054043,4161.677614927546,2505.286250489124,3632.399088428139
