t,x,y,yaw,yaw_rate,vx,vy,z_s,vz_s,pitch,roll,steer,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,Fx_FL,Fx_FR,Fx_RL,Fx_RR,Fy_FL,Fy_FR,Fy_RL,Fy_RR,kappa_FL,kappa_FR,kappa_RL,kappa_RR,alpha_FL,alpha_FR,alpha_RL,alpha_RR,alpha_dyn_FL,alpha_dyn_FR,alpha_dyn_RL,alpha_dyn_RR,w_FL,w_FR,w_RL,w_RR,airborne
0.23,3.4545825081888526,0.0,0.0,0.0,14.974972869970497,0.0,0.38154319338063203,0.0005039594665184796,-0.0006648403131914663,0.0,0.0,0.3143093581579059,0.3143093581579059,0.31582591571413987,0.31582591571413987,3451.9412052607067,3451.9412052607067,3118.2985428892316,3118.2985428892316,0.9842726581906399,0.9842726581906399,73.71597648379688,73.71597648379688,-0.0,-0.0,-0.0,-0.0,1.6932959725194623e-05,1.6932959725194623e-05,0.001387157002940743,0.001387157002940743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.379474062372694,45.379474062372694,45.44165305592704,45.44165305592704,False
0.24,3.6043268777646476,0.0,0.0,0.0,14.973901071923574,0.0,0.3815482130195893,0.0004988430847562022,-0.0007093296536682968,0.0,0.0,0.31431250793750254,0.31431250793750254,0.31582459123898954,0.31582459123898954,3451.2482537494448,3451.2482537494448,3118.589927422305,3118.589927422305,0.9841466272945781,0.9841466272945781,73.71395298348885,73.71395298348885,-0.0,-0.0,-0.0,-0.0,1.6933759788626243e-05,1.6933759788626243e-05,0.0013870039257280575,0.0013870039257280575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.37622617081038,45.37622617081038,45.43839373179938,45.43839373179938,False
0.25,3.7540605301557757,0.0,0.0,0.0,14.972829432376615,0.0,0.38155314854503186,0.0004872205340040788,-0.0007489839705199638,0.0,0.0,0.3143140779929931,0.3143140779929931,0.31582470124473655,0.31582470124473655,3450.902841541521,3450.902841541521,3118.5657261579627,3118.5657261579627,0.9840219914860838,0.9840219914860838,73.71214747815512,73.71214747815512,-0.0,-0.0,-0.0,-0.0,1.6933095067210003e-05,1.6933095067210003e-05,0.0013869794877918603,0.0013869794877918603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.37297869309339,45.37297869309339,45.435140726283414,45.435140726283414,False
0.26,3.9037834669257627,0.0,0.0,0.0,14.971757946875858,0.0,0.38155793754842643,0.0004696357419210742,-0.0007837367846064864,0.0,0.0,0.31431422833868883,0.31431422833868883,0.31582606612469827,0.31582606612469827,3450.8697654884613,3450.8697654884613,3118.2654525663843,3118.2654525663843,0.9838995807278944,0.9838995807278944,73.71056075280134,73.71056075280134,-0.0,-0.0,-0.0,-0.0,1.6931130321252715e-05,1.6931130321252715e-05,0.001387068106971637,0.001387068106971637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36973162321453,45.36973162321453,45.431893317664446,45.431893317664446,False
0.27,4.0534956895891385,0.0,0.0,0.0,14.97068661010629,0.0,0.3815625234254129,0.00044670230633419623,-0.0008136094613963329,0.0,0.0,0.31431312223447716,0.31431312223447716,0.31582850777042404,0.31582850777042404,3451.1131084150284,3451.1131084150284,3117.728290506715,3117.728290506715,0.983780102537157,0.983780102537157,73.70919023253526,73.70919023253526,-0.0,-0.0,-0.0,-0.0,1.6928031982021237e-05,1.6928031982021237e-05,0.0013872543239069632,0.0013872543239069632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36648495263036,45.36648495263036,45.42865078738792,45.42865078738792,False
0.28,4.2031971996037205,0.0,0.0,0.0,14.969615416069793,0.0,0.3815668559774393,0.00041908488110748663,-0.0008387002681813716,0.0,0.0,0.31431092318372883,0.31431092318372883,0.31583185216463977,0.31583185216463977,3451.5968995796607,3451.5968995796607,3116.992523779254,3116.992523779254,0.9836641439572346,0.9836641439572346,73.70803055207267,73.70803055207267,-0.0,-0.0,-0.0,-0.0,1.6923965083936862e-05,1.6923965083936862e-05,0.0013875230118774748,0.0013875230118774748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36323867066186,45.36323867066186,45.4254124301168,45.4254124301168,False
0.29,4.35288799836464,0.0,0.0,0.0,14.968544358253805,0.0,0.3815708918381279,0.00038748262747123705,-0.0008591735104220508,0.0,0.0,0.31430779245404705,0.31430779245404705,0.3158359316008535,0.3158359316008535,3452.285660109652,3452.285660109652,3116.095047812235,3116.095047812235,0.9835521727250257,0.9835521727250257,73.70707390924063,73.70707390924063,-0.0,-0.0,-0.0,-0.0,1.6919090713707286e-05,1.6919090713707286e-05,0.001387859555077922,0.001387859555077922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.35999276488986,45.35999276488986,45.422177562324286,45.422177562324286,False
0.3,4.502568087200004,0.0,0.0,0.0,14.96747342979332,0.0,0.3815745947419728,0.0003526141489023053,-0.000875248916634851,0.0,0.0,0.31430388695148365,0.31430388695148365,0.31584058659878883,0.31584058659878883,3453.1448706736014,3453.1448706736014,3115.0709482664606,3115.0709482664606,0.9834445382087224,0.9834445382087224,73.70631036060944,73.70631036060944,-0.0,-0.0,-0.0,-0.0,1.691356383257389e-05,1.691356383257389e-05,0.0013882500044464464,0.0013882500044464464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.35674722154723,45.35674722154723,45.41894552984479,45.41894552984479,False
0.31,4.65223746736816,0.0,0.0,0.0,14.966402623626673,0.0,0.3815779356482524,0.00031520356414235133,-0.0008871914092032333,0.0,0.0,0.3142993573786066,0.3142993573786066,0.31584566751759646,0.31584566751759646,3454.1413767065533,3454.1413767065533,3113.9531461287816,3113.9531461287816,0.9833414731286344,0.9833414731286344,73.70572812695674,73.70572812695674,-0.0,-0.0,-0.0,-0.0,1.6907531425453924e-05,1.6907531425453924e-05,0.0013886812123162378,0.0013886812123162378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.35350202590714,45.35350202590714,45.41571571444261,45.41571571444261,False
0.32,4.801896140056474,0.0,0.0,0.0,14.965331932643544,0.0,0.3815808927308631,0.0002759676178522908,-0.0008953013748103724,0.0,0.0,0.31429434666001027,0.31429434666001027,0.3158510358526452,0.3158510358526452,3455.243734797744,3455.243734797744,3112.772112418064,3112.772112418064,0.9832430971187758,0.9832430971187758,73.70531392318,73.70531392318,-0.0,-0.0,-0.0,-0.0,1.6901130978567957e-05,1.6901130978567957e-05,0.0013891409445139712,0.0013891409445139712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.35025716266265,45.35025716266265,45.41248753933158,45.41248753933158,False
