t,x,vx,z_s,vz_s,pitch,pitch_rate,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,ground_FL,ground_RL,airborne
0.88,13.297927919540353,15.205114126420007,0.3815613037586699,2.4900287453044483e-05,-0.0005989284759855182,-1.1196607307901263e-05,0.31420632579527624,0.31420632579527624,0.3159288811720522,0.3159288811720522,3474.6083250392303,3474.6083250392303,3095.646142148519,3095.646142148519,0.0,0.0,False
0.89,13.449990659160179,15.207433760313119,0.381561536181496,2.1581041295770808e-05,-0.0005989972454157009,-2.717495080962598e-06,0.31420617594188593,0.31420617594188593,0.315929033307939,0.315929033307939,3474.641292785098,3474.641292785098,3095.612672253428,3095.612672253428,0.0,0.0,False
0.9,13.602076594000842,15.209753170474686,0.381561735398311,1.8267277394127186e-05,-0.000598986059635686,4.792108799572353e-06,0.31420601755445404,0.31420601755445404,0.3159291807274834,0.3159291807274834,3474.676138020114,3474.676138020114,3095.580239953659,3095.580239953659,0.0,0.0,False
0.91,13.75418572182176,15.212072356264153,0.38156190170146326,1.500566931375073e-05,-0.0005989046537627767,1.1327100684667508e-05,0.3142058540132167,0.3142058540132167,0.315929321438349,0.315929321438349,3474.712117092327,3474.712117092327,3095.5492835632213,3095.5492835632213,0.0,0.0,False
0.92,13.906318040376307,15.21439131711164,0.38156203582475406,1.1837803819351252e-05,-0.0005987627304297784,1.6898723607553288e-05,0.3142056883863934,0.3142056883863934,0.3159294538045364,0.3159294538045364,3474.7485549934554,3474.7485549934554,3095.5201630019933,3095.5201630019933,0.0,0.0,False
0.93,14.058473547412516,15.216710052519522,0.381562138891819,8.800046232352379e-06,-0.0005985698070381701,2.15324250214631e-05,0.31420552341965086,0.31420552341965086,0.31592957653153275,0.31592957653153275,3474.784847676815,3474.784847676815,3095.493163062798,3095.493163062798,0.0,0.0,False
0.94,14.210652240673804,15.219028562062762,0.3815622123636181,5.923495850840507e-06,-0.0005983350843246927,2.5265741931416355e-05,0.3142053615317189,0.3142053615317189,0.31592968864741305,0.31592968864741305,3474.820463021844,3474.820463021844,3095.4684975691316,3095.4684975691316,0.0,0.0,False
0.95,14.362854117899701,15.221346845388165,0.38156225798589927,3.234023617296223e-06,-0.0005980673358086943,2.8146244378581496e-05,0.31420520481550546,0.31420520481550546,0.31592978948070605,0.31592978948070605,3474.854940588803,3474.854940588803,3095.446314244673,3095.446314244673,0.0,0.0,False
0.96,14.515079176826555,15.22366490221262,0.3815622777374144,7.523837022755912e-07,-0.0005977748174014353,3.022956356192934e-05,0.31420505504404994,0.31420505504404994,0.3159298786357856,0.3159298786357856,3474.8878903090163,3474.8878903090163,3095.426700127174,3095.426700127174,0.0,0.0,False
0.97,14.667327415188225,15.225982732320475,0.38156227377958535,-1.505609657345367e-06,-0.0005974651962185115,3.157752634948425e-05,0.3142049136806596,0.3142049136806596,0.31592995596650636,0.31592995596650636,3474.9189902548883,3474.9189902548883,3095.4096873686044,3095.4096873686044,0.0,0.0,False
0.98,14.81959883071673,15.228300335560164,0.3815622484082273,-3.5288488974322526e-06,-0.0005971454974409217,3.225641359159308e-05,0.3142047818925855,0.3142047818925855,0.3159300215487404,0.3159300215487404,3474.947983631195,3474.947983631195,3095.395259277117,3095.395259277117,0.0,0.0,False
0.99,14.971893421142887,15.230617711840209,0.3815622040078502,-5.310652291834624e-06,-0.0005968220679168696,3.233535555115432e-05,0.31420466056761226,0.31420466056761226,0.31593007565241593,0.31593007565241593,3474.9746751253065,3474.9746751253065,3095.3833564684983,3095.3833564684983,0.0,0.0,False
1.0,15.124211184196877,15.2329348611247,0.38156214300897046,-6.848444265089056e-06,-0.0005965005550826446,3.188487393718304e-05,0.31420455033297123,0.31420455033297123,0.31593011871359195,0.31593011871359195,3474.998926746332,3474.998926746332,3095.3738830097755,3095.3738830097755,0.0,0.0,False
1.01,15.276552117608775,15.235251783428401,0.3815620678487773,-8.143405331742406e-06,-0.0005961858997038693,3.0975576516390095e-05,0.3142044515760153,0.3142044515760153,0.31593015130704105,0.31593015130704105,3475.02065327664,3475.02065327664,3095.366712450972,3095.366712450972,0.0,0.0,False
1.02,15.428916219109038,15.237568478811564,0.3815619809354189,-9.200099790321223e-06,-0.0005958823408949147,2.967700708473499e-05,0.3142043644661344,0.3142043644661344,0.3159301741197444,0.3159301741197444,3475.0398174504303,3475.0398174504303,3095.361693656238,3095.361693656238,0.0,0.0,False
1.03,15.581303486428931,15.23988494737456,0.38156188461608864,-1.002608885410336e-05,-0.0005955934318609733,2.8056650733454826e-05,0.31420428897743236,0.31420428897743236,0.3159301879256427,0.3159301879256427,3475.056424964885,3475.056424964885,3095.3586563586086,3095.3586563586086,0.0,0.0,False
1.04,15.733713917300904,15.242201189252425,0.38156178114902534,-1.063153638653614e-05,-0.0005953220648207866,2.6179091831382438e-05,0.31420422491173083,0.31420422491173083,0.31593019356192037,0.31593019356192037,3475.07051941922,3475.07051941922,3095.357416377522,3095.357416377522,0.0,0.0,False
1.05,15.886147509458905,15.244517204609433,0.38156167267946295,-1.1028813828213753e-05,-0.0005950705036048909,2.410531998863533e-05,0.3142041719215125,0.3142041719215125,0.3159301919070452,0.3159301919070452,3475.082177267251,3475.082177267251,3095.357780450062,3095.357780450062,0.0,0.0,False
1.06,16.03860426063865,15.246832993633765,0.3815615612195116,-1.1232110281942827e-05,-0.0005948404224809918,2.1892177436645224e-05,0.31420412953245985,0.31420412953245985,0.31593018386072597,0.31593018386072597,3475.0915028588356,3475.0915028588356,3095.3595506402908,3095.3595506402908,0.0,0.0,False
1.07,16.19108416857783,15.249148556532264,0.3815614486318886,-1.1257053070157092e-05,-0.0005946329498315263,1.959193975955271e-05,0.31420409716529574,0.31420409716529574,0.31593017032590137,0.31593017032590137,3475.0986236349413,3475.0986236349413,3095.362528301702,3095.362528301702,0.0,0.0,False
1.08,16.343587231016276,15.251463893525544,0.3815613366173724,-1.1120343407301438e-05,-0.0005944487153952817,1.725202072598069e-05,0.31420407415667456,0.31420407415667456,0.3159301521928224,0.3159301521928224,3475.1036855315997,3475.1036855315997,3095.366517579078,3095.366517579078,0.0,0.0,False
1.09,16.496113445696086,15.25377900484323,0.3815612267058072,-1.0839411153759905e-05,-0.000594287899882168,1.4914791074922856e-05,0.3142040597789162,0.3142040597789162,0.3159301303252518,0.3159301303252518,3475.106848638442,3475.106848638442,3095.371328444607,3095.371328444607,0.0,0.0,False
1.1,16.648662810361675,15.256093890719619,0.3815611202504508,-1.0432091947367874e-05,-0.0005941502858750671,1.2617500481324015e-05,0.3142040532584218,0.3142040532584218,0.315930105548761,0.315930105548761,3475.1082831472027,3475.1082831472027,3095.376779272584,3095.376779272584,0.0,0.0,False
1.11,16.80123532275979,15.258408551389627,0.3815610184254277,-9.916329354356574e-06,-0.0005940353090424519,1.0392291560303014e-05,0.31420405379264094,0.31420405379264094,0.31593007864107436,0.31593007864107436,3475.1081656189976,3475.1081656189976,3095.3826989636436,3095.3826989636436,0.0,0.0,False
1.12,16.953830980639548,15.260722987085177,0.3815609222260274,-9.309904046600419e-06,-0.0005939421087978214,8.266294615944725e-06,0.31420406056550676,0.31420406056550676,0.31593005032438215,0.31593005032438215,3475.1066755885163,3475.1066755885163,3095.3889286359304,3095.3889286359304,0.0,0.0,False
1.13,17.106449781752325,15.263037198031912,0.3815608324715688,-8.630191416401398e-06,-0.0005938695776548288,6.261791894731705e-06,0.3142040727612802,0.3142040727612802,0.3159300212595177,0.3159300212595177,3475.103992518358,3475.103992518358,3095.3953229061117,3095.3953229061117,0.0,0.0,False
1.14,17.259091723851732,15.265351184446367,0.38156074981054394,-7.893948472996752e-06,-0.0005938164086383764,4.396440331026765e-06,0.31420408957678186,0.31420408957678186,0.31592999204187594,0.31592999204187594,3475.1002931079934,3475.1002931079934,3095.401750787297,3095.401750787297,0.0,0.0,False
1.15,17.411756804693482,15.26766494653352,0.3815606747277434,-7.117130345719605e-06,-0.0005937811402202802,2.683542154202396e-06,0.31420411023201394,0.31420411023201394,0.31592996319893674,0.31592996319893674,3475.0957489569355,3475.0957489569355,3095.4080962339212,3095.4080962339212,0.0,0.0,False
1.16,17.564445022035272,15.269978484484774,0.3815606075530698,-6.314736244045007e-06,-0.0005937621983519889,1.1323532306171515e-06,0.31420413397919744,0.31420413397919744,0.31592993518924384,0.31592993518924384,3475.090524576566,3475.090524576566,3095.4142583663593,3095.4142583663593,0.0,0.0,False
1.17,17.717156373636637,15.272291798476294,0.3815605484717467,-5.5006842976044315e-06,-0.0005937579352651545,-2.515803797961191e-07,0.31420416011027585,0.31420416011027585,0.31592990840268426,0.31592990840268426,3475.0847757393153,3475.0847757393153,3095.420151409467,3095.420151409467,0.0,0.0,False
1.18,17.869890857258795,15.274604888667776,0.3815604975356382,-4.687714325713366e-06,-0.0005937666648026495,-1.4660664797256136e-06,0.3142041879629492,0.3142041879629492,0.3159298831619087,0.3159298831619087,3475.078648151182,3475.078648151182,3095.425704380095,3095.425704380095,0.0,0.0,False
1.19,18.02264847066446,15.27691775520153,0.38156045467540645,-3.8873172597564505e-06,-0.0005937866941271956,-2.5118994822341746e-06,0.3142042169253189,0.3142042169253189,0.315929859724734,0.315929859724734,3475.0722764298425,3475.0722764298425,3095.430860558529,3095.430860558529,0.0,0.0,False
1.2,18.175429211617704,15.279230398201937,0.3815604197132482,-3.1096896705157733e-06,-0.0005938163517316359,-3.3924891394957487e-06,0.3142042464392362,0.3142042464392362,0.31592983828736976,0.31592983828736976,3475.0657833680343,3475.0657833680343,3095.435576778657,3095.435576778657,0.0,0.0,False
1.21,18.32823307788374,15.281542817775215,0.38156039237596784,-2.3637116274059446e-06,-0.0005938540117437289,-4.1134917294560295e-06,0.3142042760024526,0.3142042760024526,0.3159298189883173,0.3159298189883173,3475.0592794604318,3475.0592794604318,3095.4398225701993,3095.4398225701993,0.0,0.0,False
1.22,18.481060067228746,15.283855014009463,0.3815603723081632,-1.6569459426620922e-06,-0.0005938981145790143,-4.682449358404883e-06,0.31420430516968334,0.31420430516968334,0.3159298019127945,0.3159298019127945,3475.0528626696687,3475.0528626696687,3095.4435791852097,3095.4435791852097,0.0,0.0,False
1.23,18.6339101774197,15.286166986974969,0.3815603590853203,-9.95656727977868e-07,-0.0005939471840477989,-5.1084422227556645e-06,0.3142043335526913,0.3142043335526913,0.3159297870975492,0.3159297870975492,3475.046618407921,3475.046618407921,3095.4468385391774,3095.4468385391774,0.0,0.0,False
1.24,18.7867834062242,15.288478736724768,0.38156035222663526,-3.848451033845576e-07,-0.000593999841066765,-5.401757882835184e-06,0.3142043608195051,0.3142043608195051,0.3159297745359335,0.3159297745359335,3475.0406197088832,3475.0406197088832,3095.44960209463,3095.44960209463,0.0,0.0,False
1.25,18.939679689465347,15.29076330988946,0.3815610813691515,0.0003870253380571818,-0.0005946615484981005,-0.0003268912672700509,0.31425903687909185,0.31425903687909185,0.3159297516018415,0.3159297516018415,3859.7689062142535,3859.7689062142535,3095.4546475948728,3095.4546475948728,0.0018034409982475073,0.0,False
1.26,19.092598063022688,15.292867136452157,0.3815850449395907,0.00601537887994606,-0.0006145836211584848,-0.004989140336349161,0.3150607062385643,0.3150607062385643,0.3159289808694872,0.3159289808694872,5021.744461288787,5021.744461288787,3095.624208712825,3095.624208712825,0.007886817426240566,0.0,False
1.27,19.245535944677147,15.294647208942878,0.38172962785310915,0.026054732066386536,-0.0007342699146864163,-0.021546908652814698,0.31794865581127874,0.31794865581127874,0.3159227598610166,0.3159227598610166,6650.956800214688,6650.956800214688,3096.9928305763538,3096.9928305763538,0.018180277630436403,0.0,False
1.28,19.398489683895903,15.296032262887536,0.38218087757079,0.06838843984341059,-0.001106973692887593,-0.05643328205481404,0.3241417854976533,0.3241417854976533,0.3159001937623282,0.3159001937623282,8446.875436894128,8446.875436894128,3101.9573722878004,3101.9573722878004,0.03253667384717205,0.0,False
1.29,19.551455226781425,15.297009635139329,0.3831865622012213,0.1373534234264092,-0.0019358387867340523,-0.11309072025196461,0.33441826416152,0.33441826416152,0.31584670869404197,0.31584670869404197,10192.93193615585,10192.93193615585,3113.7240873107708,3113.7240873107708,0.050749772962228386,0.0,False
1.3,19.704428601364295,15.297605136221115,0.3850199048943682,0.2338213295710985,-0.003443323884248622,-0.1920369894940373,0.34911210344682037,0.34911210344682037,0.3157490080904598,0.3157490080904598,11757.935523114058,11757.935523114058,3135.2182200988464,3135.2182200988464,0.07255726491552063,0.0,False
1.31,19.857406213977857,15.297866326345838,0.3879492562154257,0.3561177824369614,-0.005845551596252573,-0.2916312712770094,0.3682249862940834,0.3682249862940834,0.3155991511079509,0.3155991511079509,13072.32432220017,13072.32432220017,3168.186756250807,3168.186756250807,0.09764464230408415,0.0,False
