Fz,kappa,alpha,gamma,Fx,Fy,Mz
4000.000929,-0.08675266557,0.01745103492,0,-4273.738699,-906.7012067,23.12955571
4000.004947,-0.08466219796,0.06981093445,0,-4236.240434,-3069.276908,28.52212477
4000.008927,-0.07791846829,0.1396241853,0,-4100.185572,-4186.573182,16.36077333
4000.018482,-0.04940011991,-0.1396280755,0,-3194.512765,4157.308714,-17.04024172
4000.011383,-0.05635261602,-0.06981503811,0,-3473.995098,3006.678439,-28.88918214
4000.001713,-0.05850784554,-0.01745520575,0,-3552.179643,880.2951306,-22.69430596
3999.999879,-0.05865124084,-1.926786077e-06,0,-3557.243229,0.09139397037,-0.00145754752
3999.999313,-0.05850786878,0.01745135796,0,-3552.174987,-880.1186606,22.69435404
4000.003182,-0.05635272833,0.06981127596,0,-3473.980963,-3006.575899,28.89286169
4000.007401,-0.04940040193,0.1396245921,0,-3194.501777,-4157.284938,17.04355245
4000.017188,-0.0208822119,-0.1396273481,0,-1575.490637,4126.80901,-17.76370967
4000.009014,-0.02804320571,-0.06981440286,0,-2053.526321,2945.659239,-29.25614597
3999.999253,-0.03026305674,-0.01745459871,0,-2192.548179,855.1675734,-22.27659652
3999.997438,-0.03041074386,-1.321442666e-06,0,-2201.633866,0.06250925805,-0.001048406171
3999.996865,-0.03026306033,0.01745196522,0,-2192.544851,-855.0466547,22.27639198
4000.000762,-0.02804323411,0.06981190984,0,-2053.516581,-2945.586151,29.25829483
4000.005697,-0.02088229538,0.1396253143,0,-1575.483564,-4126.786352,17.76534072
4000.018546,0.02664749221,-0.1396257532,0,1963.627074,4073.605694,-18.99881368
4000.007181,0.01913904748,-0.06981283152,0,1453.065908,2847.740895,-29.85029383
3999.996565,0.01681153555,-0.0174530452,0,1285.967901,816.2696994,-21.61719488
3999.994698,0.01665670765,2.301237299e-07,0,1274.720277,-0.01115830403,-0.0002443302633
3999.994132,0.01681158773,0.01745351686,0,1285.970522,-816.2916128,21.6163854
3999.998641,0.01913924654,0.0698134704,0,1453.075117,-2847.756123,29.84877712
4000.006109,0.02664788009,0.1396268874,0,1963.641522,-4073.606392,18.99678393
4000.022241,0.09318923441,-0.139624673,0,4376.401279,3995.058173,-20.44489841
4000.009074,0.0851942279,-0.06981158294,0,4245.981023,2718.553994,-30.47725376
3999.998169,0.08271593199,-0.01745174424,0,4199.543975,767.3721026,-20.72550559
3999.996317,0.08255109318,1.53491534e-06,0,4196.344172,-0.07449868526,0.0002178598985
3999.99575,0.08271603648,0.01745481835,0,4199.541165,-767.517618,20.72420308
4000.000458,0.08519463096,0.06981471774,0,4245.970907,-2718.654764,30.47292959
4000.009291,0.09318998988,0.1396279685,0,4376.385392,-3995.092495,20.44038073
6000.049528,-0.217161929,-0.1396297174,0,-6989.515961,6080.213306,-26.25240016
6000.035192,-0.222887454,-0.06981655163,0,-6975.308047,4386.786441,-49.79408431
6000.015056,-0.2246622558,-0.01745668762,0,-6970.686945,1282.920988,-45.67219241
6000.011149,-0.2247803357,-3.41866664e-06,0,-6970.370044,0.2301828452,-0.007177479502
6000.00978,-0.2246622765,0.01744985167,0,-6970.672416,-1282.476776,45.67203523
6000.017151,-0.2228875805,0.0698097321,0,-6975.258277,-4386.532324,49.80574825
6000.025594,-0.2171623533,0.1396229202,0,-6989.447643,-6080.169805,26.2634531
6000.048082,-0.1526928815,-0.1396297345,0,-7028.063024,5952.08553,-29.24691606
6000.033113,-0.1588899126,-0.06981657918,0,-7039.770437,4147.702001,-51.58255764
6000.014885,-0.1608109018,-0.01745671861,0,-7042.395551,1187.197443,-43.68287455
6000.0114,-0.1609387124,-3.448538797e-06,0,-7042.548874,0.2124493648,-0.006314926855
6000.010036,-0.1608109316,0.01744982318,0,-7042.382066,-1186.785429,43.68237892
6000.016161,-0.158890069,0.06980970534,0,-7039.723498,-4147.44754,51.59402783
6000.024744,-0.1526933534,0.1396229058,0,-7027.997789,-5952.03057,29.25802926
6000.046213,-0.1066435619,-0.1396295917,0,-6701.045376,5854.537574,-31.2804931
6000.030897,-0.1131773731,-0.06981646669,0,-6784.329235,3988.453934,-52.65015795
6000.013825,-0.1152027754,-0.01745661444,0,-6806.865533,1127.046791,-42.32078504
6000.010582,-0.1153375342,-3.343848302e-06,0,-6808.308636,0.1949506448,-0.005580841272
6000.009225,-0.1152028075,0.01744992947,0,-6806.853402,-1126.667601,42.32011418
6000.014596,-0.1131775342,0.0698098202,0,-6784.287103,-3988.208453,52.6610098
6000.023159,-0.1066440275,0.139623054,0,-6700.989186,-5854.474736,31.29107319
6000.044311,-0.07901397847,-0.1396293317,0,-6108.633059,5794.17432,-32.47847476
6000.028702,-0.08574984237,-0.06981625257,0,-6297.783932,3897.381412,-53.22616953
6000.012187,-0.08783788383,-0.01745641276,0,-6349.696418,1093.765284,-41.53101057
6000.00906,-0.08797680907,-3.142254528e-06,0,-6353.040513,0.1784902517,-0.004987004421
6000.007703,-0.08783791241,0.01745013261,0,-6349.685699,-1093.417566,41.53025104
6000.012689,-0.08574998556,0.06981003664,0,-6297.747272,-3897.150288,53.23612983
6000.021248,-0.0790143904,0.1396233189,0,-6108.588306,-5794.107769,32.4881021
6000.041597,-0.05138442304,-0.1396287901,0,-4881.20657,5732.723189,-33.6871056
6000.025331,-0.05832230918,-0.06981580009,0,-5271.296239,3809.557777,-53.77078179
6000.009164,-0.06047297415,-0.01745598499,0,-5379.8879,1062.366605,-40.76518564
6000.006115,-0.06061606137,-2.71540088e-06,0,-5386.911593,0.1518719266,-0.004146472064
6000.004751,-0.06047299075,0.01745056179,0,-5379.879116,-1062.070342,40.76433985
6000.009456,-0.05832239923,0.06981049126,0,-5271.267129,-3809.355964,53.77901781
6000.018224,-0.05138469723,0.1396238639,0,-4881.176446,-5732.656554,33.69477324
6000.038599,-0.005335367884,-0.1396268988,0,-626.4065271,5628.462303,-35.79101922
6000.018342,-0.01260982378,-0.06981411529,0,-1462.177695,3670.11854,-54.65589589
6000.001567,-0.01486478905,-0.01745436701,0,-1713.621059,1013.781567,-39.55181976
5999.998495,-0.01501479387,-1.101629206e-06,0,-1730.184832,0.06251504244,-0.001848429415
5999.997111,-0.0148647501,0.01745217985,0,-1713.613274,-1013.659711,39.55081186
6000.00213,-0.01260967982,0.06981217001,0,-1462.150443,-3670.035273,54.65808826
6000.013646,-0.005335100484,0.139625737,0,-626.3661885,-5628.427724,35.79194739
6000.047722,0.05913305047,-0.1396242586,0,5312.454451,5480.123114,-38.55733768
6000.020742,0.05138739442,-0.06981130675,0,4881.794637,3488.670827,-55.73621391
6000.001955,0.04898646043,-0.01745152167,0,4732.157633,952.6712689,-37.95572909
5999.9987,0.04882678827,1.745241183e-06,0,4721.920493,-0.1040870101,0.001289057919
5999.997321,0.04898660942,0.01745502284,0,4732.160256,-952.8763854,37.95453838
6000.003737,0.05138797492,0.06981496283,0,4881.803598,-3488.833083,55.72876158
6000.020568,0.05913415983,0.1396283511,0,5312.464926,-5480.199215,38.54893974
